Player1,Player2,Result,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Sorana Cirstea,Marina Erakovic,0,57,25,43,13,5,1,20,32,3,14,6,7,78,4,6,0,0,0,59,35,41,17,6,5,28,45,4,6,5,8,83,6,7,0,0,0
Zarina Diyas,Katerina Siniakova,1,74,33,26,6,1,4,1,4,5,6,0,0,72,6,6,0,0,0,57,22,43,10,2,3,2,3,2,6,0,0,58,2,4,0,0,0
Lesia Tsurenko,Varvara Lepchenko,0,63,35,37,20,1,3,9,34,3,9,0,1,92,6,3,4,0,0,64,42,36,15,3,5,32,52,3,9,11,13,93,2,6,6,0,0
Katarzyna Piter,Simona Halep,0,77,12,23,1,1,3,5,25,0,2,5,8,24,0,1,0,0,0,61,21,39,9,3,2,13,14,5,9,1,2,52,6,6,0,0,0
Carla Suarez Navarro,Vania King,1,79,31,21,4,0,1,17,19,4,5,6,9,61,6,6,0,0,0,69,20,31,5,1,2,12,28,1,2,5,14,42,3,2,0,0,0
Galina Voskoboeva,Irina-Camelia Begu,1,64,41,36,18,3,3,3,3,6,11,0,0,109,7,4,7,0,0,62,44,38,15,2,7,2,7,5,9,0,0,94,5,6,5,0,0
Kristina Mladenovic,Stefanie Voegele,0,48,29,52,19,3,8,23,41,1,1,14,22,61,5,5,0,0,0,66,32,34,13,7,1,19,20,3,12,5,7,76,7,7,0,0,0
Francesca Schiavone,Dominika Cibulkova,0,60,21,40,11,5,2,14,27,1,6,5,11,57,3,4,0,0,0,61,33,39,14,0,6,21,30,3,7,6,7,72,6,6,0,0,0
Alize Cornet,Polona Hercog,0,75,3,25,1,1,0,2,0,0,0,1,1,5,0,0,0,0,0,0,0,100,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Camila Giorgi,Storm Sanders,1,51,38,49,23,5,13,27,47,4,12,3,7,97,4,6,6,0,0,63,35,37,12,2,3,13,34,2,7,4,4,81,6,1,4,0,0
Paula Ormaechea,Karin Knapp,0,57,26,43,7,2,7,2,7,2,3,0,0,56,4,2,0,0,0,61,26,39,8,4,3,4,3,5,10,0,0,69,6,6,0,0,0
Bethanie Mattek-Sands,Maria Sharapova,0,57,27,43,10,4,8,18,30,2,6,7,9,65,3,4,0,0,0,53,31,47,13,5,9,29,28,4,8,3,7,77,6,6,0,0,0
Agnieszka Radwanska,Yulia Putintseva,1,59,36,41,15,9,1,38,31,7,11,22,35,96,6,5,6,0,0,52,29,48,16,0,6,27,33,3,8,11,17,76,0,7,2,0,0
Olga Govortsova,Ying-Ying Duan,1,68,35,32,8,10,4,10,4,4,12,0,0,78,6,7,0,0,0,60,24,40,16,1,1,1,1,1,5,0,0,62,0,6,0,0,0
Carina Witthoeft,Mandy Minella,0,62,16,38,10,1,4,1,4,2,6,0,0,47,1,4,0,0,0,56,17,44,16,0,2,0,2,5,8,0,0,62,6,6,0,0,0
Teliana Pereira,Anastasia Pavlyuchenkova,0,68,43,32,14,3,7,3,7,2,4,0,0,84,6,4,0,0,0,62,32,38,15,3,5,3,5,3,12,0,0,93,7,6,0,0,0
Kaia Kanepi,Garbine Muguruza,0,64,27,36,12,6,3,22,39,3,9,3,4,69,2,6,2,0,0,51,28,49,20,5,4,26,31,5,12,1,3,85,6,2,6,0,0
Timea Babos,Anna Schmiedlova,0,60,46,40,17,8,11,8,11,5,24,0,0,120,6,4,5,0,0,66,54,34,23,5,5,5,5,6,14,0,0,126,4,6,7,0,0
Christina McHale,Yung-Jan Chan,1,71,31,29,11,4,3,4,3,5,9,0,0,77,7,6,0,0,0,68,28,32,10,0,6,0,6,3,3,0,0,66,5,4,0,0,0
Lourdes Dominguez Lino,Caroline Wozniacki,0,58,10,42,8,0,2,9,30,1,2,5,7,31,0,2,0,0,0,61,17,39,11,0,2,15,16,6,12,11,18,58,6,6,0,0,0
Sloane Stephens,Yaroslava Shvedova,1,75,31,25,7,1,1,22,27,6,12,1,3,82,7,6,0,0,0,58,22,42,10,3,13,14,43,4,6,3,6,61,6,3,0,0,0
Tadeja Majeric,Ajla Tomljanovic,0,72,54,28,10,4,7,4,7,3,6,0,0,99,6,6,4,0,0,49,36,51,25,5,6,5,6,3,6,0,0,97,3,7,6,0,0
Olivia Rogowska,Mariana Duque-Marino,1,63,25,37,10,2,6,21,31,6,13,4,5,66,6,6,0,0,0,67,18,33,5,4,4,10,32,3,8,2,6,47,3,3,0,0,0
Elina Svitolina,Svetlana Kuznetsova,1,61,26,39,8,5,5,27,21,5,12,12,18,65,6,6,0,0,0,48,20,52,11,1,4,17,24,2,4,4,5,53,3,3,0,0,0
Bojana Jovanovski,Jana Cepelova,1,76,43,24,11,0,1,0,1,9,13,0,0,100,6,6,6,0,0,69,28,31,7,2,5,2,5,5,12,0,0,81,7,1,3,0,0
Chanelle Scheepers,Yvonne Meusburger,0,53,27,47,12,2,13,2,13,4,7,0,0,71,6,4,0,0,0,68,32,32,12,1,5,1,5,5,11,0,0,80,7,6,0,0,0
Su-Wei Hsieh,Barbora Zahlavova Strycova,0,58,33,42,15,1,5,14,39,1,4,11,16,75,1,6,1,0,0,68,39,32,13,5,2,31,36,5,17,22,28,95,6,4,6,0,0
Johanna Larsson,Victoria Azarenka,0,72,24,28,5,2,5,13,29,3,10,4,5,59,6,2,0,0,0,75,41,25,4,0,7,27,32,5,5,15,17,80,7,6,0,0,0
Serena Williams,Vesna Dolonc,1,66,28,34,8,10,2,24,19,4,7,3,4,61,6,6,0,0,0,54,17,46,6,2,8,9,20,0,1,3,3,37,1,2,0,0,0
Karolina Pliskova,Daniela Hantuchova,0,55,50,45,28,11,6,57,60,3,14,15,17,123,3,6,1,0,0,59,53,41,28,9,8,43,35,4,9,10,14,129,6,3,1,0,0
Samantha Stosur,Tsvetana Pironkova,1,59,20,41,10,4,3,23,15,5,13,13,17,58,6,6,0,0,0,57,15,43,4,1,2,5,19,0,1,5,6,30,2,0,0,0,0
Annika Beck,Ana Ivanovic,0,75,13,25,3,0,3,10,29,2,3,5,8,35,1,2,0,0,0,54,16,46,13,2,2,16,17,6,7,0,1,57,6,6,0,0,0
Jie Zheng,Madison Keys,1,76,40,24,14,0,4,19,48,7,10,10,15,102,7,1,7,0,0,63,39,37,18,3,1,30,43,8,16,6,11,109,6,6,5,0,0
Casey Dellacqua,Kirsten Flipkens,1,73,22,27,6,1,0,15,15,6,19,7,10,61,6,6,0,0,0,48,15,52,10,0,7,17,29,1,1,10,13,38,3,0,0,0,0
Eugenie Bouchard,Virginie Razzano,1,50,26,50,17,4,2,25,25,5,10,3,7,84,6,7,0,0,0,75,32,25,6,2,1,27,42,3,9,13,17,71,2,6,0,0,0
Lauren Davis,Julia Goerges,1,69,51,31,15,0,6,14,20,3,7,5,7,94,7,2,6,0,0,71,45,29,11,6,1,42,47,3,13,12,15,98,5,6,4,0,0
Na Li,Belinda Bencic,1,60,27,40,12,4,2,30,31,5,7,2,5,67,6,7,0,0,0,54,21,46,8,2,5,12,19,2,2,3,4,53,0,6,0,0,0
Lucie Hradecka,Lucie Safarova,0,44,33,56,26,9,9,9,9,0,6,0,0,90,7,3,0,0,0,62,47,38,20,6,7,6,7,4,13,0,0,113,6,6,6,0,0
Ekaterina Makarova,Irina Falconi,1,56,26,44,14,4,6,18,28,5,13,9,14,74,6,7,0,0,0,74,22,26,10,0,2,18,40,2,4,3,7,55,2,5,0,0,0
Monica Niculescu,Sabine Lisicki,1,66,35,34,9,0,6,8,18,7,14,12,16,87,2,6,6,0,0,53,23,47,14,10,6,43,56,5,6,19,34,76,6,2,2,0,0
Angelique Kerber,Alla Kudryavtseva,1,59,24,41,11,3,1,22,10,4,13,3,4,65,6,6,0,0,0,63,25,37,8,4,2,23,24,1,2,11,17,47,4,2,0,0,0
Yanina Wickmayer,Alison Riske,0,63,13,37,6,3,3,14,30,0,2,3,7,36,1,1,0,0,0,78,27,22,6,4,2,15,8,5,10,2,3,60,6,6,0,0,0
Flavia Pennetta,Monica Puig,1,45,22,55,18,9,0,21,14,2,6,4,4,67,6,6,0,0,0,45,21,55,16,5,6,19,38,0,0,11,16,50,3,4,0,0,0
Mona Barthel,Luksika Kumkhum,1,63,44,37,18,3,6,25,33,4,5,11,20,92,4,6,6,0,0,58,38,42,13,4,8,37,39,3,7,7,8,94,6,3,4,0,0
Jelena Jankovic,Ayumi Morita,1,59,19,41,7,9,4,25,14,6,6,0,1,53,6,6,0,0,0,57,8,43,5,1,3,7,18,1,1,1,2,26,2,0,0,0,0
Kurumi Nara,Magdalena Rybarikova,1,66,26,34,15,0,2,8,26,4,4,5,10,59,6,6,0,0,0,52,16,48,8,4,1,13,38,2,5,7,11,51,4,3,0,0,0
Marina Erakovic,Zarina Diyas,0,50,15,50,8,2,5,15,27,1,10,3,4,46,4,0,0,0,0,70,27,30,10,1,1,27,15,5,5,2,2,66,6,6,0,0,0
Varvara Lepchenko,Simona Halep,0,63,34,37,10,1,4,23,47,2,2,9,10,66,6,0,1,0,0,58,29,42,16,0,3,10,19,6,15,1,2,90,4,6,6,0,0
Carla Suarez Navarro,Galina Voskoboeva,1,73,57,27,17,0,5,19,30,6,10,14,19,126,7,3,8,0,0,55,40,45,23,3,13,50,67,7,17,25,39,121,6,6,6,0,0
Stefanie Voegele,Dominika Cibulkova,0,42,11,58,1,3,1,12,22,1,5,2,3,30,0,1,0,0,0,68,21,32,8,0,2,17,13,6,9,4,5,55,6,6,0,0,0
Alize Cornet,Camila Giorgi,1,59,39,41,17,1,9,5,29,6,13,2,6,103,6,4,6,0,0,56,31,44,20,0,12,28,73,5,12,19,33,92,3,6,4,0,0
Karin Knapp,Maria Sharapova,1,53,40,47,23,3,9,20,55,6,9,6,7,112,3,6,8,0,0,60,44,40,23,2,12,34,67,7,20,6,6,124,6,4,1,0,0
Agnieszka Radwanska,Olga Govortsova,1,66,28,34,8,1,1,18,13,5,8,11,14,63,6,7,0,0,0,70,20,30,6,0,1,18,26,1,2,13,18,43,0,5,0,0,0
Mandy Minella,Anastasia Pavlyuchenkova,0,55,21,45,11,2,3,2,3,0,0,0,0,42,2,2,0,0,0,67,24,33,8,5,1,5,1,4,9,0,0,65,6,6,0,0,0
Garbine Muguruza,Anna Schmiedlova,1,56,23,44,11,6,6,24,33,6,8,4,9,66,6,6,0,0,0,59,15,41,7,1,5,6,20,3,7,0,2,45,3,3,0,0,0
Christina McHale,Caroline Wozniacki,0,53,22,47,12,3,3,17,37,3,6,2,2,61,0,6,2,0,0,74,30,26,8,2,3,15,29,5,12,11,15,70,6,1,6,0,0
Sloane Stephens,Ajla Tomljanovic,1,71,39,29,14,3,3,25,36,5,10,10,13,92,3,6,7,0,0,54,35,46,22,3,6,25,44,3,6,8,16,87,6,2,5,0,0
Olivia Rogowska,Elina Svitolina,0,61,26,39,14,5,2,22,36,3,5,8,10,65,4,5,0,0,0,53,26,47,15,7,3,19,24,5,8,8,11,76,6,7,0,0,0
Bojana Jovanovski,Yvonne Meusburger,0,69,30,31,14,0,1,32,50,6,9,7,9,85,6,3,2,0,0,67,38,33,5,0,5,18,34,8,15,9,12,92,3,6,6,0,0
Barbora Zahlavova Strycova,Victoria Azarenka,0,55,13,45,9,1,2,17,30,2,8,17,27,50,1,4,0,0,0,85,34,15,6,0,1,15,18,5,11,10,19,65,6,6,0,0,0
Serena Williams,Daniela Hantuchova,1,48,20,52,15,10,2,25,21,4,7,4,12,60,6,6,0,0,0,54,15,46,12,2,2,10,19,1,6,1,3,48,3,3,0,0,0
Samantha Stosur,Ana Ivanovic,0,68,42,32,22,3,2,21,30,1,4,11,16,93,7,4,2,0,0,58,47,42,23,6,3,46,40,4,9,16,23,107,6,6,6,0,0
Jie Zheng,Casey Dellacqua,0,64,18,36,11,0,5,15,28,2,3,2,4,45,2,4,0,0,0,58,20,42,14,1,3,14,16,5,10,3,4,64,6,6,0,0,0
Eugenie Bouchard,Lauren Davis,1,61,23,39,10,4,2,18,23,5,8,3,5,67,6,6,0,0,0,77,24,23,3,0,1,7,31,1,3,3,4,43,2,2,0,0,0
Na Li,Lucie Safarova,1,60,43,40,18,5,6,17,50,4,10,8,9,99,1,7,6,0,0,59,33,41,17,2,7,21,43,6,16,5,6,99,6,6,3,0,0
Ekaterina Makarova,Monica Niculescu,1,56,17,44,13,2,1,17,35,6,9,9,10,65,6,6,0,0,0,70,23,30,8,1,3,9,34,4,4,4,11,56,4,4,0,0,0
Angelique Kerber,Alison Riske,1,63,21,37,6,4,4,21,16,7,13,6,9,64,6,6,0,0,0,62,16,38,8,0,6,18,29,4,5,8,23,48,3,4,0,0,0
Flavia Pennetta,Mona Barthel,1,44,17,56,15,3,4,14,10,6,15,3,5,70,6,7,0,0,0,60,22,40,13,4,6,22,45,2,4,6,10,55,1,5,0,0,0
Jelena Jankovic,Kurumi Nara,1,62,23,38,13,1,3,12,33,7,9,5,10,72,6,7,0,0,0,86,25,14,5,0,2,19,43,5,7,13,18,63,4,5,0,0,0
Zarina Diyas,Simona Halep,0,61,16,39,7,0,3,9,32,2,4,7,9,42,1,4,0,0,0,52,18,48,13,1,3,18,20,6,6,3,6,62,6,6,0,0,0
Carla Suarez Navarro,Dominika Cibulkova,0,65,12,35,4,0,0,2,23,0,1,0,3,26,1,0,0,0,0,69,21,31,8,1,1,20,20,5,9,7,9,56,6,6,0,0,0
Alize Cornet,Maria Sharapova,0,65,24,35,9,0,5,11,23,4,6,7,12,60,1,6,0,0,0,50,23,50,16,0,8,35,35,6,14,12,13,81,6,7,0,0,0
Agnieszka Radwanska,Anastasia Pavlyuchenkova,1,65,36,35,16,5,2,25,19,6,9,13,20,96,5,6,6,0,0,59,29,41,17,0,7,39,49,3,5,12,21,78,7,2,2,0,0
Garbine Muguruza,Caroline Wozniacki,1,64,37,36,16,5,7,33,56,7,10,12,17,96,4,7,6,0,0,67,39,33,12,2,6,17,37,5,16,9,13,93,6,5,3,0,0
Sloane Stephens,Elina Svitolina,1,69,31,31,10,1,0,24,32,4,9,10,13,68,7,6,0,0,0,57,23,43,15,0,4,12,27,2,3,9,17,61,5,4,0,0,0
Yvonne Meusburger,Victoria Azarenka,0,70,8,30,4,0,5,5,18,1,2,3,3,25,1,0,0,0,0,74,20,26,5,0,2,20,13,7,14,14,17,56,6,6,0,0,0
Serena Williams,Ana Ivanovic,0,66,43,34,13,13,4,22,31,2,3,10,15,79,6,3,3,0,0,53,31,47,21,1,2,33,27,4,14,10,13,91,4,6,6,0,0
Casey Dellacqua,Eugenie Bouchard,0,61,33,39,14,0,3,11,47,1,2,5,9,68,7,2,0,0,0,65,37,35,16,6,1,29,28,6,11,10,12,94,6,6,6,0,0
Na Li,Ekaterina Makarova,1,80,26,20,4,1,1,18,14,5,7,8,14,55,6,6,0,0,0,64,14,36,3,0,1,4,11,0,4,3,4,31,2,0,0,0,0
Angelique Kerber,Flavia Pennetta,0,64,35,36,10,1,4,25,35,5,6,5,13,77,1,6,5,0,0,60,33,40,12,8,2,43,37,8,18,17,27,98,6,4,7,0,0
Jelena Jankovic,Simona Halep,0,67,32,33,11,2,2,23,43,4,8,20,30,69,4,6,0,0,0,64,26,36,14,0,4,22,28,6,13,4,4,81,6,2,6,0,0
Dominika Cibulkova,Maria Sharapova,1,69,27,31,13,1,5,16,28,7,14,2,2,87,3,6,6,0,0,66,31,34,12,3,8,27,45,5,10,8,10,77,6,4,1,0,0
Agnieszka Radwanska,Garbine Muguruza,1,73,34,27,11,2,1,9,15,4,9,4,7,76,6,6,0,0,0,56,18,44,10,3,3,23,44,0,6,6,14,49,1,3,0,0,0
Sloane Stephens,Victoria Azarenka,0,72,24,28,9,0,0,20,32,0,2,6,8,55,3,2,0,0,0,69,32,31,10,3,7,20,20,3,14,13,17,74,6,6,0,0,0
Ana Ivanovic,Eugenie Bouchard,0,56,34,44,23,1,4,34,35,5,12,12,18,104,7,5,2,0,0,58,42,42,20,2,6,47,37,7,13,19,24,113,5,7,6,0,0
Na Li,Flavia Pennetta,1,64,23,36,10,1,1,23,17,5,8,7,10,62,6,6,0,0,0,39,12,61,13,3,5,14,27,1,4,2,2,37,2,2,0,0,0
Simona Halep,Dominika Cibulkova,0,67,13,33,6,2,1,9,25,1,3,1,4,32,3,0,0,0,0,77,25,23,5,0,3,17,16,5,9,3,4,54,6,6,0,0,0
Agnieszka Radwanska,Victoria Azarenka,1,59,33,41,16,1,1,23,15,6,16,19,24,94,6,5,6,0,0,60,26,40,19,0,5,33,47,2,5,20,34,74,1,7,0,0,0
Eugenie Bouchard,Na Li,0,45,13,55,5,2,2,10,14,3,7,4,5,49,2,4,0,0,0,61,27,39,11,4,5,35,23,6,10,11,14,71,6,6,0,0,0
Dominika Cibulkova,Agnieszka Radwanska,1,64,22,36,10,0,2,21,20,6,9,12,14,63,6,6,0,0,0,68,17,32,2,2,2,12,24,1,9,4,9,40,1,2,0,0,0
Na Li,Dominika Cibulkova,1,60,21,40,15,2,3,34,30,5,10,8,13,75,7,6,0,0,0,67,29,33,5,0,7,11,28,2,3,3,4,58,6,0,0,0,0
Su-Wei Hsieh,Maria Sharapova,0,62,18,38,5,0,3,8,8,0,0,1,3,31,2,1,0,0,0,68,25,32,8,4,0,25,19,4,6,3,5,57,6,6,0,0,0
Eugenie Bouchard,Tsvetana Pironkova,1,57,23,43,17,3,1,37,21,4,10,16,20,71,6,7,0,0,0,66,28,34,6,1,2,13,21,1,3,4,8,48,1,6,0,0,0
Jie Zheng,Vesna Dolonc,1,76,30,24,5,1,0,25,13,4,12,4,5,70,6,6,0,0,0,76,35,24,6,0,3,20,25,0,4,14,20,56,4,1,0,0,0
Tamira Paszek,Melanie Oudin,0,59,16,41,8,2,6,21,38,6,15,2,4,66,4,3,0,0,0,63,27,37,9,0,3,24,29,8,13,5,8,78,6,6,0,0,0
Karin Knapp,Sloane Stephens,0,57,18,43,13,0,3,15,27,2,2,3,5,50,2,5,0,0,0,65,22,35,10,0,2,9,16,5,7,1,4,61,6,7,0,0,0
Vania King,Alexandra Cadantu,1,74,27,26,11,0,0,38,15,6,9,14,21,83,7,6,0,0,0,72,28,28,9,0,5,21,17,3,8,5,9,64,6,1,0,0,0
Marina Erakovic,Elena Baltacha,1,66,23,34,8,6,2,29,10,5,6,5,9,56,6,6,0,0,0,69,11,31,6,1,1,7,13,1,5,2,6,30,3,0,0,0,0
Dominika Cibulkova,Lesia Tsurenko,1,60,24,40,11,1,2,14,20,6,10,4,6,67,6,6,0,0,0,55,12,45,7,1,3,16,35,3,7,0,2,46,1,4,0,0,0
Kimiko Date-Krumm,Samantha Stosur,0,79,15,21,3,0,1,8,20,0,1,4,7,33,0,2,0,0,0,59,19,41,12,1,0,21,18,5,8,7,10,60,6,6,0,0,0
Kristina Mladenovic,Lauren Davis,1,58,27,42,13,3,1,31,21,6,15,14,17,77,6,7,0,0,0,72,22,28,5,0,0,18,16,2,9,4,7,49,0,5,0,0,0
Karolina Pliskova,Garbine Muguruza,0,60,41,40,20,9,4,27,22,2,4,5,7,88,6,5,3,0,0,69,49,31,13,7,7,46,25,3,7,11,17,99,4,7,6,0,0
Jelena Jankovic,Daniela Hantuchova,1,78,40,22,7,4,1,27,21,3,11,10,15,90,6,7,0,0,0,68,38,32,17,1,2,26,32,2,6,14,23,80,4,6,0,0,0
Jamie Hampton,Lucie Safarova,1,60,50,40,24,7,5,38,50,6,11,5,14,125,7,3,9,0,0,67,53,33,19,4,1,35,43,6,16,11,17,130,6,6,7,0,0
Anna Karolina Schmiedlova,Yanina Wickmayer,1,62,40,38,16,6,4,17,42,4,12,3,4,102,7,2,6,0,0,59,39,41,22,1,8,34,66,4,10,9,12,102,6,6,2,0,0
Shuai Peng,Camila Giorgi,1,54,28,46,14,2,3,13,15,4,8,5,5,68,6,6,0,0,0,53,24,47,8,1,11,23,30,1,4,3,8,57,4,2,0,0,0
Petra Kvitova,Aravane Rezai,1,69,35,31,13,5,6,29,32,9,16,4,11,94,6,4,6,0,0,56,27,44,12,1,7,33,32,6,13,11,15,87,3,6,2,0,0
Elena Vesnina,Victoria Azarenka,0,74,21,26,6,2,1,20,16,1,5,9,11,47,1,4,0,0,0,70,31,30,6,4,1,21,13,4,8,8,10,63,6,6,0,0,0
