Player1	Player2	Result	FSP.1	FSW.1	SSP.1	SSW.1	ACE.1	DBF.1	WNR.1	UFE.1	BPC.1	BPW.1	NPA.1	NPW.1	TPW.1	ST1.1	ST2.1	ST3.1	ST4.1	ST5.1	FSP.2	FSW.2	SSP.2	SSW.2	ACE.2	DBF.2	WNR.2	UFE.2	BPC.2	BPW.2	NPA.2	NPW.2	TPW.2	ST1.2	ST2.2	ST3.2	ST4.2	ST5.2
Benjamin Becker	Jeremy Chardy	0	66	48	34	13	7	5	24	24	1	5	11	14	85	4	2	5	0	0	66	44	34	17	10	6	46	33	5	11	10	16	108	6	6	7	0	0
Roberto Bautista Agut	Gilles Muller	1	83	51	17	6	6	0	27	18	5	14	5	6	100	6	6	6	0	0	55	36	45	18	8	5	32	29	1	3	12	20	75	3	4	2	0	0
Jarkko Nieminen	Paul-Henri Mathieu	1	69	84	31	29	11	4	57	42	6	7	8	13	172	6	4	7	4	6	54	58	46	36	7	8	60	71	5	15	24	33	163	4	6	6	6	2
Jo-Wilfried Tsonga	Aljaz Bedene	1	50	32	50	23	5	0	29	33	6	10	13	17	93	6	6	6	0	0	62	26	38	12	4	4	15	35	1	4	9	13	63	2	2	3	0	0
Marinko Matosevic	David Ferrer	0	59	29	41	10	1	5	20	42	5	8	15	26	76	4	3	4	0	0	55	33	45	18	3	4	22	22	8	11	6	11	98	6	6	6	0	0
Steve Johnson	Albert Montanes	0	55	53	45	32	5	7	56	41	4	5	19	35	118	4	6	3	6	1	65	59	35	21	5	4	38	20	6	19	11	16	142	6	3	6	3	6
Joao Sousa	Go Soeda	1	70	40	30	14	7	2	29	21	7	10	5	7	87	6	6	6	0	0	58	24	42	10	3	4	19	41	1	4	6	11	57	1	3	2	0	0
Marcel Granollers	Feliciano Lopez	0	70	55	30	18	7	3	29	37	5	14	17	34	132	5	6	4	6	0	58	52	42	33	12	3	52	66	4	5	26	38	122	7	2	6	4	0
Illya Marchenko	Kevin Anderson	0	60	39	40	25	0	4	21	35	1	2	8	18	89	3	5	4	0	0	64	50	36	15	13	4	38	33	4	12	12	14	115	6	7	6	0	0
Jan-Len0rd Struff	Evgeny Donskoy	0	48	47	52	32	9	5	53	51	6	11	12	20	132	6	6	6	2	0	59	59	41	25	14	5	40	38	6	10	8	11	132	7	2	7	6	0
Steve Darcis	Michael Llodra	0	71	49	29	23	3	1	35	18	4	6	21	42	112	4	6	1	4	0	58	56	42	16	17	6	59	46	7	18	38	63	131	6	4	6	6	0
Milos Raonic	Xavier Malisse	1	73	55	27	14	16	2	61	36	6	9	32	45	116	6	6	4	6	0	64	42	36	18	8	1	26	18	2	5	9	13	87	2	1	6	4	0
Andreas Haider-Maurer	Nicolas Almagro	0	65	50	35	20	8	3	28	32	1	4	7	10	99	6	4	3	3	0	53	50	47	28	13	6	40	37	4	7	6	12	113	4	6	6	6	0
Martin Alund	Edouard Roger-Vasselin	0	57	31	43	17	1	2	24	41	2	7	11	22	83	2	6	1	0	0	63	45	37	22	6	1	33	34	8	19	16	21	111	6	4	6	6	0
Blaz Kavcic	James Duckworth	1	63	33	37	17	1	0	25	8	7	12	11	20	89	6	6	6	0	0	46	19	54	11	3	4	13	27	1	5	7	22	50	2	2	2	0	0
Andreas Seppi	Leo0rdo Mayer	1	67	73	33	32	8	3	50	69	9	14	18	27	171	6	6	6	6	6	64	68	36	28	11	8	48	69	6	10	19	37	154	7	4	3	7	4
Jurgen Zopp	Tommy Robredo	0	68	35	32	9	3	0	24	27	0	0	14	27	58	3	2	1	0	0	65	37	35	12	6	3	32	7	6	15	8	10	95	6	6	6	0	0
Igor Sijsling	Jurgen Melzer	1	64	41	36	18	16	3	31	16	6	11	3	8	94	6	6	6	0	0	72	37	28	6	5	6	24	22	2	5	8	10	71	4	3	2	0	0
Ernests Gulbis	Rogerio Dutra Silva	1	53	36	47	23	7	2	40	26	6	9	16	24	97	6	7	6	0	0	65	31	35	13	1	2	17	32	3	6	15	23	74	1	6	3	0	0
Tomas Berdych	Gael Monfils	0	66	91	34	33	11	2	72	57	1	5	35	50	174	6	4	7	7	5	72	104	28	27	26	3	66	44	3	8	15	21	189	7	6	6	6	7
Sergiy Stakhovsky	Richard Gasquet	0	55	22	45	17	1	1	16	30	1	4	12	27	57	1	4	3	0	0	67	36	33	16	3	1	26	13	6	10	21	27	88	6	6	6	0	0
Michal Przysiezny	Rhyne Williams	1	67	75	33	27	13	4	57	31	4	12	29	41	151	6	6	7	7	0	67	66	33	21	19	2	45	33	1	10	6	16	134	3	7	5	5	0
Florent Serra	Nikolay Davydenko	0	64	35	36	13	1	1	17	25	2	3	2	3	75	3	4	5	0	0	67	50	33	16	3	3	28	27	5	7	5	5	96	6	6	7	0	0
Florian Mayer	Denis Istomin	0	59	40	41	15	6	3	22	24	4	7	10	14	87	6	3	5	0	0	69	44	31	13	7	3	53	31	5	11	17	26	101	4	6	7	0	0
Albert Ramos	Jerzy Janowicz	0	61	41	39	25	5	1	22	17	1	6	10	18	94	6	5	3	0	0	63	49	37	26	17	3	65	46	3	7	19	22	113	7	7	6	0	0
Kenny De Schepper	Robin Haase	0	64	61	36	21	7	11	56	60	3	6	31	49	125	4	6	6	3	0	65	59	35	25	8	6	35	31	3	8	17	23	131	6	7	2	6	0
Vasek Pospisil	Horacio Zeballos	0	56	67	44	34	21	7	58	53	1	4	21	30	141	6	4	7	4	0	68	71	32	18	10	4	44	42	1	10	15	22	135	7	6	6	1	0
Stanislas Wawrinka	Thiemo De Bakker	1	69	74	31	24	9	3	55	50	4	15	35	56	146	7	6	6	7	0	69	70	31	25	7	2	38	30	1	4	20	33	135	5	3	7	5	0
Jesse Levine	Kei Nishikori	0	52	16	48	9	1	5	9	33	1	3	4	8	49	3	2	0	0	0	51	27	49	19	2	4	26	25	8	11	7	7	86	6	6	6	0	0
Grega Zemlja	Santiago Giraldo	1	52	32	48	21	12	2	43	24	6	13	6	7	92	6	6	6	0	0	64	30	36	12	4	0	19	26	0	3	1	2	62	1	4	1	0	0
Lukasz Kubot	Maxime Teixeira	1	64	30	36	12	4	5	25	45	6	16	16	36	90	6	5	3	0	0	64	37	36	12	4	5	26	42	5	8	11	18	85	4	7	1	0	0
Benoit Paire	Marcos Baghdatis	1	46	40	54	29	6	2	39	46	2	3	21	28	101	3	7	4	0	0	53	34	47	25	2	7	17	24	2	14	13	25	104	6	6	3	0	0
Andreas Beck	Fabio Fognini	0	55	37	45	25	4	4	34	39	1	13	15	23	106	3	5	3	0	0	64	50	36	27	10	5	39	22	5	13	9	11	125	6	7	6	0	0
Pere Riba	Lukas Rosol	0	60	38	40	14	3	0	12	16	1	5	0	6	82	3	4	4	0	0	62	41	38	23	7	4	62	50	4	7	9	12	97	6	6	6	0	0
Martin Klizan	Michael Russell	1	49	29	51	22	7	4	32	37	6	11	13	19	92	3	6	6	0	0	69	35	31	9	3	4	22	32	3	12	10	19	81	6	3	1	0	0
Rafael 0dal	Daniel Brands	1	84	74	16	12	2	4	40	26	3	8	19	25	140	4	7	6	6	0	74	66	26	22	10	1	51	53	1	4	25	40	115	6	6	4	3	0
Fer0ndo Verdasco	Marc Gicquel	1	64	37	36	11	4	5	25	22	7	13	7	12	89	6	6	6	0	0	53	23	47	13	1	3	11	25	1	3	5	8	58	2	3	1	0	0
Federico Delbonis	Julian Reister	1	55	52	45	27	8	8	53	41	7	10	13	23	122	6	6	6	6	0	72	47	28	15	2	1	23	35	1	8	9	15	97	7	1	0	4	0
Mikhail Youzhny	Pablo Andujar	1	65	70	35	20	11	5	71	52	6	20	26	37	153	4	6	6	6	0	56	49	44	27	2	4	28	39	3	12	11	24	127	6	4	2	3	0
Carlos Berlocq	John Isner	0	73	45	27	10	3	3	27	11	1	5	11	18	83	3	4	4	0	0	63	45	37	16	14	1	52	29	4	9	16	27	97	6	6	6	0	0
Andrey Kuznetsov	Ryan Harrison	0	71	48	29	11	4	4	35	31	2	10	17	25	94	3	4	6	0	0	56	46	44	26	6	2	29	20	4	8	12	18	111	6	6	7	0	0
Jack Sock	Guillermo Garcia-Lopez	1	56	32	44	23	4	2	26	26	7	13	6	9	97	6	6	7	0	0	63	30	37	11	0	10	13	38	2	7	9	14	66	2	2	5	0	0
Tommy Haas	Guillaume Rufin	1	65	48	35	13	6	4	27	41	5	9	12	15	101	7	6	6	0	0	61	32	39	21	2	2	16	33	1	4	14	23	78	6	1	3	0	0
Jiri Vesely	Philipp Kohlschreiber	0	61	59	39	25	8	6	35	44	3	5	21	35	120	6	6	5	2	0	62	61	38	21	7	2	50	41	3	13	16	22	132	7	1	7	6	0
Simone Bolelli	Yen-Hsun Lu	0	63	33	37	12	4	0	18	27	1	1	5	8	57	4	4	1	0	0	77	32	23	9	4	0	20	12	4	11	4	6	78	6	6	2	0	0
Ber0rd Tomic	Victor Hanescu	0	63	38	37	17	6	3	36	34	1	11	14	15	91	5	6	1	0	0	71	51	29	19	5	3	27	22	3	5	14	25	103	7	7	2	0	0
Alexandr Dolgopolov	Dmitry Tursunov	0	55	51	45	22	14	2	44	50	3	7	8	11	116	6	4	6	0	0	51	47	49	28	8	6	38	42	4	8	7	13	119	7	6	7	0	0
Alejandro Falla	Grigor Dimitrov	0	54	10	46	7	1	1	6	15	1	5	5	7	38	4	0	0	0	0	59	20	41	10	2	1	14	16	2	2	6	7	48	6	1	0	0	0
Alex Kuznetsov	Lucas Pouille	0	63	33	37	13	5	3	34	49	1	6	19	26	84	1	6	2	0	0	48	36	52	33	8	3	38	37	5	11	10	14	109	6	7	6	0	0
Ivan Dodig	Guido Pella	0	56	80	44	37	21	8	70	72	6	14	35	48	172	6	4	3	6	1	61	71	39	35	4	7	52	49	6	15	21	31	179	4	6	6	2	1
Novak Djokovic	David Goffin	1	69	53	31	20	5	0	26	31	3	11	13	21	114	7	6	7	0	0	61	46	39	25	7	2	32	38	1	2	15	26	99	6	4	5	0	0
Somdev Devvarman	Roger Federer	0	61	19	39	16	2	0	12	14	0	3	3	14	52	2	1	1	0	0	62	30	38	18	3	0	54	33	7	14	19	30	88	6	6	6	0	0
Julien Benneteau	Tobias Kamke	1	72	83	28	23	5	8	63	76	5	10	32	47	174	7	7	5	0	6	65	75	35	37	5	4	55	38	7	16	22	34	183	6	5	7	6	4
Jan Hajek	Sam Querrey	0	66	36	34	16	3	1	31	25	4	8	7	18	88	4	5	4	0	0	62	45	38	14	8	6	39	28	7	12	9	15	107	6	7	6	0	0
Gilles Simon	Pablo Cuevas	1	57	41	43	26	4	1	54	41	10	17	16	22	126	6	6	6	6	0	56	37	44	19	2	4	23	39	2	5	8	14	89	7	1	1	1	0
Nick Kyrgios	Marin Cilic	0	64	33	36	10	3	4	14	23	0	3	2	6	57	4	2	2	0	0	51	32	49	23	8	3	32	15	5	7	5	5	92	6	6	6	0	0
Daniel Gimeno-Traver	Viktor Troicki	0	78	84	22	15	1	3	49	60	7	10	14	23	162	6	6	0	7	4	56	61	44	35	14	2	57	56	10	23	20	37	180	4	7	6	6	6
Roberto Bautista Agut	Jeremy Chardy	0	79	42	21	8	1	0	17	11	0	0	14	20	80	1	5	4	0	0	64	50	36	17	11	4	59	41	4	8	21	28	101	6	7	6	0	0
Jo-Wilfried Tsonga	Jarkko Nieminen	1	65	44	35	19	8	1	35	36	4	7	18	22	106	7	6	6	0	0	61	41	39	25	1	2	24	35	1	1	21	29	83	6	4	3	0	0
Albert Montanes	David Ferrer	0	67	28	33	9	3	1	28	36	2	3	10	17	63	2	1	3	0	0	60	31	40	15	3	2	29	21	8	15	8	13	96	6	6	6	0	0
Feliciano Lopez	Joao Sousa	1	64	56	36	23	17	0	42	36	3	12	17	22	126	3	6	6	6	0	66	58	34	24	10	3	31	41	1	3	11	18	112	6	3	4	4	0
Evgeny Donskoy	Kevin Anderson	0	67	62	33	21	3	2	44	36	0	5	9	13	120	7	1	5	2	0	68	69	32	26	14	3	58	37	5	11	14	19	148	6	6	7	6	0
Milos Raonic	Michael Llodra	1	63	62	37	25	24	5	75	42	4	12	33	46	144	7	3	7	6	0	61	59	39	32	14	4	44	26	2	7	28	56	127	5	6	6	2	0
Edouard Roger-Vasselin	Nicolas Almagro	0	57	30	43	16	4	1	23	34	1	11	11	17	81	2	4	3	0	0	46	36	54	30	9	6	41	45	5	12	11	14	95	6	6	6	0	0
Andreas Seppi	Blaz Kavcic	1	57	67	43	41	14	2	63	40	6	18	24	39	176	6	7	6	4	6	63	64	37	37	7	5	46	40	3	9	19	32	157	0	6	7	6	3
Igor Sijsling	Tommy Robredo	0	52	51	48	30	9	4	64	53	3	6	37	50	132	7	6	3	1	1	62	67	38	28	12	4	52	29	8	14	8	16	157	6	4	6	6	6
Gael Monfils	Ernests Gulbis	1	64	65	36	32	8	4	29	33	7	11	10	19	139	6	6	7	6	0	60	55	40	22	3	6	52	69	4	12	26	38	132	7	4	6	2	0
Michal Przysiezny	Richard Gasquet	0	64	27	36	8	3	0	14	34	2	3	6	13	53	3	3	0	0	0	59	32	41	14	9	3	39	15	8	13	6	9	92	6	6	6	0	0
Denis Istomin	Nikolay Davydenko	0	68	41	32	19	3	0	19	41	1	1	13	22	80	4	5	2	0	0	65	41	35	18	2	1	22	28	5	14	15	21	102	6	7	6	0	0
Robin Haase	Jerzy Janowicz	0	68	51	32	21	1	0	23	28	3	10	17	34	115	4	6	4	3	0	60	48	40	28	5	7	59	47	6	14	25	44	124	6	4	6	6	0
Stanislas Wawrinka	Horacio Zeballos	1	66	52	34	18	19	6	50	33	3	6	13	25	111	6	7	6	0	0	62	46	38	16	4	3	25	26	0	8	17	24	90	2	6	4	0	0
Grega Zemlja	Kei Nishikori	0	48	39	52	24	5	5	24	47	6	10	8	13	110	1	7	1	4	0	63	45	37	19	4	5	43	56	11	23	16	19	135	6	5	6	6	0
Benoit Paire	Lukasz Kubot	1	57	34	43	20	9	3	54	35	7	16	15	22	102	7	6	6	0	0	75	46	25	8	1	2	23	26	4	6	9	24	82	6	2	4	0	0
Lukas Rosol	Fabio Fognini	0	57	51	43	21	8	3	37	51	2	6	17	33	105	2	6	6	1	0	74	60	26	17	7	4	34	36	4	11	5	11	131	6	7	2	6	0
Rafael 0dal	Martin Klizan	1	74	55	26	10	5	2	27	29	7	10	14	20	113	4	6	6	6	0	56	30	44	25	6	5	32	57	4	7	15	28	90	6	3	3	3	0
Fer0ndo Verdasco	Janko Tipsarevic	0	58	77	42	40	10	9	74	89	4	14	29	39	187	6	1	6	7	6	64	82	36	38	9	1	49	52	5	20	21	32	194	7	6	3	5	8
Mikhail Youzhny	Federico Delbonis	1	69	70	31	24	5	4	44	45	6	15	19	32	152	6	6	7	6	0	57	55	43	30	2	5	48	48	3	11	17	32	136	3	7	5	4	0
Ryan Harrison	John Isner	0	64	88	36	32	9	9	52	37	1	7	13	26	160	7	7	3	1	6	65	81	35	37	15	2	61	52	5	18	39	56	183	5	6	6	6	8
Tommy Haas	Jack Sock	1	74	62	26	15	11	3	34	30	4	16	10	15	116	7	6	7	0	0	54	39	46	22	4	6	25	34	1	7	18	26	96	6	2	5	0	0
Dmitry Tursunov	Victor Hanescu	0	59	31	41	9	6	4	25	15	2	2	6	9	62	4	6	0	0	0	67	33	33	9	6	0	24	10	3	5	5	6	66	6	6	0	0	0
Lucas Pouille	Grigor Dimitrov	0	60	31	40	14	1	3	15	39	1	6	13	23	71	1	6	1	0	0	49	37	51	29	5	3	37	33	5	10	17	19	103	6	7	6	0	0
Novak Djokovic	Guido Pella	1	72	38	28	10	1	2	29	26	7	16	17	23	93	6	6	6	0	0	57	26	43	12	1	4	10	34	0	1	3	7	58	2	0	2	0	0
Julien Benneteau	Roger Federer	0	82	41	18	8	2	1	15	31	1	3	9	15	64	3	4	5	0	0	65	42	35	22	7	0	38	21	4	4	8	11	98	6	6	7	0	0
Gilles Simon	Sam Querrey	1	60	52	40	32	3	2	36	29	6	10	11	22	133	2	6	2	7	6	58	60	42	21	9	7	61	50	7	14	21	33	134	6	3	6	6	2
Viktor Troicki	Marin Cilic	1	65	61	35	20	7	4	32	36	4	10	13	21	128	7	6	7	0	0	59	43	41	27	6	4	34	56	2	9	20	29	115	6	4	5	0	0
Jo-Wilfried Tsonga	Jeremy Chardy	1	67	40	33	17	6	0	25	24	5	10	13	15	86	6	6	7	0	0	65	35	35	10	3	3	17	34	0	2	15	21	60	1	2	5	0	0
Feliciano Lopez	David Ferrer	0	63	37	37	14	5	3	21	41	3	5	18	28	80	1	5	4	0	0	66	41	34	17	1	4	35	30	7	19	14	20	111	6	7	6	0	0
Milos Raonic	Kevin Anderson	0	57	49	43	29	16	1	50	38	1	4	13	27	102	5	6	3	0	0	69	54	31	19	8	2	31	15	3	12	10	12	126	7	7	6	0	0
Andreas Seppi	Nicolas Almagro	0	51	34	49	18	6	2	32	37	1	5	5	8	74	6	0	4	0	0	69	50	31	12	19	2	43	20	5	13	12	14	107	7	6	6	0	0
Gael Monfils	Tommy Robredo	0	68	73	32	27	2	1	61	68	4	12	28	36	154	6	7	2	6	2	70	74	30	30	4	2	50	52	6	17	28	40	170	2	6	6	7	6
Nikolay Davydenko	Richard Gasquet	0	76	46	24	9	3	0	36	38	2	3	11	18	83	4	4	3	0	0	68	40	32	19	5	3	27	18	5	10	17	31	101	6	6	6	0	0
Stanislas Wawrinka	Jerzy Janowicz	1	58	54	42	31	9	2	48	29	5	14	24	32	136	6	6	6	6	0	61	58	39	23	6	10	37	46	1	5	19	31	116	3	7	3	3	0
Benoit Paire	Kei Nishikori	0	43	40	57	36	6	9	36	64	4	9	10	20	119	3	7	4	1	0	63	53	37	23	1	5	27	34	8	19	14	27	137	6	6	6	6	0
Rafael 0dal	Fabio Fognini	1	78	52	22	14	5	1	24	40	5	18	15	20	122	7	6	6	0	0	67	47	33	26	3	2	47	59	3	11	17	31	111	6	4	4	0	0
Mikhail Youzhny	Janko Tipsarevic	1	64	40	36	21	3	3	42	29	4	8	16	24	96	6	6	6	0	0	49	28	51	25	5	5	22	22	0	3	10	20	77	4	4	3	0	0
Tommy Haas	John Isner	0	63	99	37	52	15	9	85	43	3	23	14	23	224	7	7	4	6	1	78	132	22	24	27	0	92	58	2	13	52	80	213	5	6	6	7	8
Victor Hanescu	Philipp Kohlschreiber	0	73	31	27	8	1	5	21	24	1	14	9	22	71	0	6	1	0	0	59	43	41	20	6	1	40	23	6	9	19	32	105	6	7	6	0	0
Novak Djokovic	Grigor Dimitrov	1	68	39	32	13	2	0	13	22	7	16	6	13	94	6	6	6	0	0	69	33	31	9	0	2	18	48	1	5	8	12	61	2	2	3	0	0
Gilles Simon	Roger Federer	0	61	65	39	28	5	3	32	47	3	6	15	28	131	1	6	6	2	3	64	56	36	23	9	2	60	56	6	14	25	35	147	6	4	2	6	6
Jo-Wilfried Tsonga	Viktor Troicki	1	77	45	23	15	1	2	33	24	4	12	18	25	98	6	6	6	0	0	62	34	38	15	5	1	20	27	0	3	19	28	70	3	3	3	0	0
Kevin Anderson	David Ferrer	0	71	34	29	7	5	2	25	41	0	2	6	12	60	3	1	1	0	0	52	28	48	24	1	3	28	11	6	17	9	12	97	6	6	6	0	0
Tommy Robredo	Nicolas Almagro	1	63	73	37	31	8	2	42	39	7	20	23	27	169	6	3	6	6	6	63	71	37	31	7	1	69	67	6	13	19	30	165	7	6	4	4	4
Stanislas Wawrinka	Richard Gasquet	1	63	81	37	41	13	6	92	55	4	20	31	45	191	6	4	6	7	8	60	87	40	38	10	2	57	46	2	11	37	53	178	7	6	4	5	6
Rafael 0dal	Kei Nishikori	1	69	39	31	16	1	0	20	25	5	8	6	8	91	6	6	6	0	0	65	27	35	15	0	1	14	39	0	4	8	16	65	4	1	3	0	0
Tommy Haas	Mikhail Youzhny	1	61	31	39	14	2	3	25	18	8	15	12	15	82	6	6	6	0	0	63	16	37	12	0	3	17	32	2	6	13	21	54	1	1	3	0	0
Novak Djokovic	Philipp Kohlschreiber	1	74	71	26	23	2	2	38	42	4	8	13	31	134	4	6	6	6	0	55	48	45	28	4	3	48	48	2	13	17	24	123	6	3	4	4	0
Jo-Wilfried Tsonga	Roger Federer	1	75	46	25	10	2	0	26	22	6	14	15	23	103	7	6	6	0	0	67	39	33	14	0	3	25	34	2	3	15	30	73	5	3	3	0	0
Tommy Robredo	David Ferrer	0	59	22	41	9	2	2	9	28	0	1	4	7	46	2	1	1	0	0	47	25	53	22	1	3	26	18	7	12	13	15	84	6	6	6	0	0
Rafael 0dal	Stanislas Wawrinka	1	75	40	25	11	5	0	31	17	7	12	13	16	96	6	6	6	0	0	60	30	40	12	3	4	23	40	1	5	16	30	64	2	3	1	0	0
Novak Djokovic	Tommy Haas	1	64	41	36	22	11	0	46	25	5	12	22	27	116	6	7	7	0	0	60	48	40	21	4	5	19	34	2	2	2	17	84	3	6	5	0	0
David Ferrer	Jo-Wilfried Tsonga	1	60	35	40	23	3	1	24	21	6	17	17	22	107	6	7	6	0	0	58	37	42	17	6	3	31	56	2	5	7	16	84	1	6	2	0	0
Novak Djokovic	Rafael 0dal	0	67	76	33	30	5	2	54	75	5	9	32	50	158	4	6	1	7	7	64	73	36	35	6	3	61	44	8	16	15	26	177	6	3	6	6	9
Rafael 0dal	David Ferrer	1	70	43	30	11	5	2	35	25	8	16	13	17	100	6	6	6	0	0	62	31	38	8	1	5	22	35	3	12	10	14	72	3	2	3	0	0
B.Becker	A.Murray	0	59	29	41	14	5	1	26	18	5	1	28	19	0	4	3	2	0	0	57	39	43	20	11	2	38	16	10	5	23	17	0	6	6	6	0	0
J.Ward	Y-H.Lu	0	62	77	38	35	18	4	60	28	13	1	27	19	0	7	4	6	6	0	67	85	33	31	12	3	57	32	15	2	46	39	0	6	6	7	7	0
N.Mahut	J.Hajek	1	72	44	28	10	17	3	41	18	8	5	26	17	0	6	6	6	0	0	70	34	30	14	4	0	24	13	1	0	19	12	0	2	4	3	0	0
T.Robredo	A.Bogomolov Jr.	1	77	40	23	12	6	0	25	11	14	5	14	11	0	6	6	6	0	0	79	35	21	8	1	4	16	27	0	0	22	13	0	2	2	4	0	0
R.Haase	M.Youzhny	0	68	61	32	15	7	2	32	29	2	0	29	20	0	4	5	5	0	0	67	53	33	17	9	3	40	26	21	3	44	30	0	6	7	7	0	0
M.Gicquel	V.Pospisil	0	59	41	41	27	7	6	22	28	6	1	11	6	0	3	2	6	0	0	70	56	30	11	25	3	53	30	12	4	33	26	0	6	6	7	0	0
A.Kuznetsov	A.Montanes	1	63	56	37	21	21	3	56	32	16	4	21	15	0	6	6	3	6	0	73	59	27	14	7	8	33	28	9	2	11	10	0	3	4	6	3	0
J.Tipsarevic	V.Troicki	0	61	47	39	21	3	1	28	16	4	0	33	24	0	3	4	6	0	0	71	55	29	16	15	2	40	26	10	2	38	27	0	6	6	7	0	0
M.Baghdatis	M.Cilic	0	61	31	39	16	4	5	20	18	1	1	14	9	0	3	4	4	0	0	70	45	30	16	16	2	41	19	6	4	11	8	0	6	6	6	0	0
K.De Schepper	P.Lorenzi	1	67	56	33	21	22	6	61	29	8	3	47	35	0	7	6	6	0	0	54	40	46	22	4	2	22	15	6	0	23	15	0	6	4	2	0	0
L.Lacko	R.Ram	0	64	66	36	18	13	2	55	40	3	1	22	15	0	5	4	7	2	0	67	64	33	23	16	0	52	21	16	5	50	32	0	7	6	6	6	0
J.Mo0co	B.Knittel	1	78	46	22	9	6	2	19	20	14	6	9	7	0	6	6	6	0	0	58	33	42	17	4	12	17	44	1	1	21	14	0	4	2	3	0	0
T.Kamke	J.Benneteau	0	69	60	31	14	3	2	33	33	7	2	34	25	0	4	7	4	2	0	63	65	37	26	12	6	60	27	12	6	61	44	0	6	6	6	6	0
F.Verdasco	X.Malisse	1	63	58	37	21	20	7	64	29	11	6	25	18	0	6	6	6	6	0	63	48	37	24	7	1	23	34	2	1	27	14	0	7	1	4	3	0
E.Roger-Vasselin	E.Gulbis	0	66	48	34	21	5	5	42	30	11	2	49	29	0	6	4	5	0	0	65	59	35	20	20	6	55	36	8	4	26	17	0	7	6	7	0	0
J-W.Tsonga	D.Goffin	1	68	54	32	15	18	2	47	13	6	3	48	32	0	7	6	6	0	0	71	46	29	19	2	3	40	10	1	0	36	26	0	6	4	3	0	0
V.Hanescu	R.Federer	0	85	26	15	3	3	1	14	13	0	0	22	8	0	3	2	0	0	0	70	35	30	14	7	0	32	6	8	6	25	21	0	6	6	6	0	0
R.Dutra Silva	S.Stakhovsky	0	54	27	46	17	1	3	17	22	2	0	21	11	0	4	0	4	0	0	62	38	38	20	7	2	29	15	8	5	41	29	0	6	6	6	0	0
J.Reister	L.Rosol	1	68	102	32	27	22	10	55	44	19	4	34	22	0	6	4	7	6	6	59	81	41	39	20	13	95	74	17	3	59	42	0	3	6	6	7	4
F.Fognini	J.Melzer	0	66	52	34	21	3	2	49	33	12	4	37	24	0	7	5	3	2	0	69	62	31	22	8	3	45	29	15	8	82	50	0	6	7	6	6	0
K.Edmund	J.Janowicz	0	71	39	29	10	4	3	17	12	4	0	11	9	0	2	2	4	0	0	68	40	32	17	11	4	39	17	21	5	17	11	0	6	6	6	0	0
R.Stepanek	M.Reid	1	66	37	34	17	8	1	35	19	12	5	43	33	0	6	6	6	0	0	60	34	40	12	12	7	29	30	2	0	21	10	0	2	2	4	0	0
M.Matosevic	G.Rufin	0	53	43	47	22	6	3	29	36	12	4	31	17	0	1	6	4	3	0	47	42	53	26	6	9	29	47	14	8	34	20	0	6	4	6	6	0
N.Almagro	J.Zopp	1	55	43	45	29	11	4	36	14	10	2	21	18	0	6	7	7	0	0	52	51	48	27	11	11	34	36	0	0	26	14	0	4	6	5	0	0
L.Hewitt	S.Wawrinka	1	57	37	43	26	5	1	32	11	15	6	31	20	0	6	7	6	0	0	60	41	40	20	12	2	44	37	10	2	21	13	0	4	5	3	0	0
D.Brown	G.Garcia-Lopez	1	75	47	25	12	9	2	46	21	7	4	41	29	0	6	6	6	0	0	67	32	33	10	4	4	23	13	3	0	13	9	0	3	3	3	0	0
P.Andujar	A.Man0rino	0	60	32	40	12	1	3	15	20	0	0	15	11	0	1	2	3	0	0	63	31	37	17	6	0	34	14	13	6	31	23	0	6	6	6	0	0
J.Isner	E.Donskoy	1	75	55	25	19	22	1	40	20	4	2	24	16	0	6	7	7	0	0	65	47	35	15	4	4	27	20	0	0	18	13	0	1	6	6	0	0
A.Ungur	B.Paire	0	59	43	41	25	2	5	26	21	2	2	25	14	0	4	6	3	1	0	63	51	37	18	26	3	64	21	13	6	33	21	0	6	4	6	6	0
S.Robert	A.Falla	1	68	50	32	13	5	4	37	30	15	7	24	18	0	6	7	7	0	0	57	41	43	22	1	6	28	42	9	5	30	16	0	3	6	5	0	0
L.Kubot	I.Andreev	1	60	34	40	16	11	6	43	18	11	7	37	28	0	6	7	6	0	0	69	28	31	9	5	2	20	21	3	2	9	4	0	1	5	2	0	0
R.0dal	S.Darcis	0	67	52	33	21	6	3	32	24	7	2	36	28	0	6	6	4	0	0	60	53	40	28	13	2	53	24	11	3	46	32	0	7	7	6	0	0
A.Ramos	J.Del Potro	0	58	30	42	8	7	4	29	23	6	1	16	9	0	2	5	1	0	0	73	45	27	12	10	1	34	10	8	6	11	9	0	6	7	6	0	0
G.Pella	J.Levine	0	65	58	35	26	15	3	50	33	19	4	30	22	0	4	2	6	6	3	63	63	37	29	18	10	61	53	8	5	46	34	0	6	6	4	3	4
G.Zemlja	M.Russell	1	68	67	32	20	18	5	68	33	10	6	44	31	0	6	6	6	6	0	66	60	34	17	10	5	38	36	11	2	30	20	0	7	4	4	1	0
G.Dimitrov	S.Bolelli	1	73	43	27	10	15	2	26	9	11	5	16	12	0	6	6	6	0	0	59	34	41	13	4	2	20	28	0	0	12	5	0	1	4	3	0	0
