Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
1,2,0,56,27,44,15,1,4,16,6,11,6,0,7,6,0,0,0,59,30,41,14,5,5,12,4,12,8,0,5,4,0,0,0
0,0,2,47,14,53,10,2,5,2,2,9,7,0,3,4,0,0,0,82,27,18,7,0,0,6,4,2,2,0,6,6,0,0,0
1,2,0,59,28,41,17,8,2,2,1,5,4,0,6,7,0,0,0,64,31,36,17,7,3,2,2,10,7,0,4,6,0,0,0
0,0,2,52,13,48,10,3,2,0,0,0,0,0,4,0,0,0,0,55,21,45,11,4,2,5,4,0,0,0,6,6,0,0,0
1,2,1,73,47,27,11,3,4,11,5,16,13,0,6,3,6,0,0,58,21,42,17,1,5,16,2,6,5,0,2,6,1,0,0
1,2,0,69,28,31,12,2,3,14,6,1,1,0,6,7,0,0,0,65,24,35,8,0,4,10,3,9,8,0,2,5,0,0,0
0,0,2,67,17,33,4,3,4,3,0,4,2,0,0,0,0,0,0,51,16,49,12,1,1,14,6,12,10,0,6,6,0,0,0
0,0,2,47,8,53,4,1,6,2,0,5,4,0,0,0,0,0,0,69,21,31,7,0,2,8,6,3,3,0,6,6,0,0,0
1,2,1,63,49,37,19,0,7,13,6,20,10,0,5,6,6,0,0,63,45,37,17,9,10,16,5,22,16,0,7,4,4,0,0
1,2,0,62,17,48,11,2,2,9,7,7,4,0,6,6,0,0,0,63,13,47,4,0,5,5,2,5,3,0,2,0,0,0,0
0,0,2,53,32,47,11,3,4,5,0,15,12,0,4,3,0,0,0,58,28,42,13,1,5,6,3,7,7,0,6,6,0,0,0
0,1,2,63,38,37,18,2,2,10,3,17,10,0,7,2,6,0,0,64,51,36,19,0,10,9,5,19,14,0,6,6,7,0,0
1,2,0,63,26,37,12,5,1,11,4,5,4,0,6,7,0,0,0,68,27,32,15,0,3,1,1,9,5,0,3,5,0,0,0
1,2,0,60,31,40,15,2,5,9,4,7,6,0,6,6,0,0,0,74,25,26,3,4,5,10,1,10,8,0,2,4,0,0,0
1,2,0,54,18,46,16,3,0,14,5,27,18,0,6,6,0,0,0,73,24,27,9,0,4,5,3,11,7,0,3,4,0,0,0
1,2,0,53,19,47,18,0,4,7,4,6,5,0,6,6,0,0,0,45,21,55,13,1,8,4,1,3,3,0,3,2,0,0,0
0,1,2,54,29,46,16,1,8,8,5,15,12,0,6,4,2,0,0,73,40,27,7,5,6,13,7,5,3,0,4,6,6,0,0
0,0,2,46,15,54,7,1,6,8,1,16,13,0,1,2,0,0,0,52,24,48,12,1,5,12,6,22,15,0,6,6,0,0,0
1,2,0,72,26,28,6,3,0,8,5,0,62,0,6,6,0,0,0,50,10,50,10,1,4,3,1,0,34,0,1,2,0,0,0
1,2,0,51,13,49,12,1,0,9,6,8,6,0,6,6,0,0,0,43,8,57,5,0,8,0,0,6,3,0,0,1,0,0,0
0,0,2,68,22,42,6,3,4,0,0,6,3,0,2,2,0,0,0,62,19,48,13,6,1,10,4,13,9,0,6,6,0,0,0
0,1,2,65,43,35,18,1,2,15,4,18,10,0,6,3,6,0,0,58,48,42,26,6,6,9,4,19,13,0,4,6,7,0,0
1,2,0,64,28,36,14,1,2,3,2,15,9,0,6,6,0,0,0,58,19,42,13,4,1,2,0,13,6,0,3,4,0,0,0
1,2,0,57,27,43,7,6,8,14,7,19,10,0,7,6,0,0,0,60,20,40,8,4,5,9,3,5,4,0,5,0,0,0,0
1,2,0,61,27,39,13,3,3,7,4,25,20,0,6,6,0,0,0,52,16,48,12,1,4,6,1,8,4,0,4,2,0,0,0
0,0,2,54,21,46,14,1,5,7,3,12,6,0,2,6,0,0,0,43,22,57,22,5,6,12,5,12,8,0,6,7,0,0,0
1,2,0,59,32,41,10,2,5,13,6,8,5,0,6,7,0,0,0,69,28,31,6,0,3,9,4,14,9,0,3,6,0,0,0
0,1,2,53,48,47,21,6,4,7,2,23,16,0,6,4,5,0,0,72,45,28,16,5,2,13,3,13,10,0,4,6,7,0,0
0,0,2,49,17,51,4,3,7,0,0,6,4,0,1,1,0,0,0,50,16,50,14,0,1,8,5,6,5,0,6,6,0,0,0
0,0,2,63,12,37,3,0,4,2,0,4,0,0,0,0,0,0,0,78,21,22,4,1,1,12,6,10,8,0,6,6,0,0,0
1,2,1,51,29,49,15,8,1,25,7,30,19,0,6,1,6,0,0,61,32,39,11,1,2,13,4,14,7,0,1,6,1,0,0
