type,text
souseki,母 は 私 を まだ 子供 の よう に 思っ て い た 。 私 も 実際 子供 の よう な 感じ が し た 。
souseki,隠し て いらっしゃい ます
souseki,誰 も い なかっ た よ
souseki,自由 が 来 た から 話す 。 しかし その 自由 は また 永久 に 失わ れ なけれ ば なら ない
souseki,お 目 出 とう  と いっ て 、 先生 が 私 の ため に 杯  さかずき  を 上げ て くれ た 。 私 は この 盃  さかずき  に対して それほど 嬉  うれ  し い 気 を 起さ なかっ た 。 無論 私 自身 の 心 が この 言葉 に 反響 する よう に 、 飛び立つ 嬉し さ を もっ て い なかっ た の が 、 一つ の 源 因  げん い ん  で あっ た 。 けれども 先生 の いい 方 も 決して 私 の 嬉  うれ  し さ を 唆  そそ  る 浮 々  うきうき  し た 調子 を 帯び て い なかっ た 。 先生 は 笑っ て 杯  さかずき  を 上げ た 。 私 は その 笑い の うち に 、 些  ちっ  とも 意地 の 悪い アイロニー を 認め なかっ た 。 同時に 目 出 たい という 真情 も 汲  く  み 取る 事 が でき なかっ た 。 先生 の 笑い は 、  世間 は こんな 場合 に よく お 目出 とう と いい た がる もの です ね  と 私 に 物語っ て い た 。
souseki,さっき まで 傍  そば  に い て 、 あんまり だ わ とか 何とか いっ て 笑っ た お嬢さん は 、 いつの間にか 向う の 隅 に 行っ て 、 背中 を こっち へ 向け て い まし た 。 私 は 立と う として 振り返っ た 時 、 その 後姿  う しろ す がた  を 見 た の です 。 後姿 だけ で 人間 の 心 が 読める はず は あり ませ ん 。 お嬢さん が この 問題 について どう 考え て いる か 、 私 に は 見当 が 付き ませ ん でし た 。 お嬢さん は 戸棚 を 前 に し て 坐  すわ  って い まし た 。 その 戸棚 の 一 ｜ 尺  しゃく  ばかり 開  あ  い て いる 隙間  すき ま  から 、 お嬢さん は 何 か 引き出し て 膝  ひざ  の 上 へ 置い て 眺  な が  め て いる らしかっ た の です 。 私 の 眼 は その 隙間 の 端  はじ  に 、 一昨日  おととい  買っ た 反物  たん も の  を 見付け 出し まし た 。 私 の 着物 も お嬢さん の も 同じ 戸棚 の 隅 に 重ね て あっ た の です 。
souseki,奥さん は 最初 世の中 を 見る 先生 の 眼 が 厭世 的  えんせ い て き  だ から 、 その 結果 として 自分 も 嫌わ れ て いる の だ と 断言 し た 。 そう 断言 し て おき ながら 、 ちっとも そこ に 落ち 付い て い られ なかっ た 。 底 を 割る と 、 かえって その 逆 を 考え て い た 。 先生 は 自分 を 嫌う 結果 、 とうとう 世の中 まで 厭  いや  に なっ た の だろ う と 推測 し て い た 。 けれども どう 骨 を 折っ て も 、 その 推測 を 突き 留め て 事実 と する 事 が でき なかっ た 。 先生 の 態度 は どこ まで も 良人  おっ と  らしかっ た 。 親切 で 優しかっ た 。 疑い の 塊  かたま  り を その 日 その 日 の 情合  じょうあい  で 包ん で 、 そっと 胸 の 奥 に しまっ て おい た 奥さん は 、 その 晩 その 包み の 中 を 私 の 前 で 開け て 見せ た 。
souseki,ちょっと また 将棋 でも 差す よう に 勧め て ご覧 な
souseki,Ｋ と 私  わたくし  は 同じ 科 に おり ながら 、 専攻 の 学問 が 違っ て い まし た から 、 自然 出る 時 や 帰る 時 に 遅速 が あり まし た 。 私 の 方 が 早けれ ば 、 ただ 彼 の 空 室  くう し つ  を 通り抜ける だけ です が 、 遅い と 簡単 な 挨拶  あいさつ  を し て 自分 の 部屋 へ はいる の を 例 に し て い まし た 。 Ｋ は いつも の 眼 を 書物 から はなし て 、 襖  ふす ま  を 開ける 私 を ちょっと 見 ます 。 そうして きっと 今 帰っ た の か と いい ます 。 私 は 何 も 答え ない で 点頭  うな ず  く 事 も あり ます し 、 あるいは ただ  うん  と 答え て 行き 過ぎる 場合 も あり ます 。
souseki,私 は 仕方 が ない から 、 母 を そのまま に し て おい て 直接 父 に 向かっ た 。 父 は 私 の 注意 を 母 より は 真面目  まじめ  に 聞い て くれ た 。  もっとも だ 。 お前 の いう 通り だ 。 けれども 、 己  おれ  の 身体  から だ  は 必竟  ひっきょう  己 の 身体 で 、 その 己 の 身体 について の 養生 法 は 、 多年 の 経験 上 、 己 が 一番 ｜ 能  よ  く 心得 て いる はず だ から ね  と いっ た 。 それ を 聞い た 母 は 苦笑 し た 。  それ ご覧 な  と いっ た 。
souseki,罪悪 です 。 たしかに  と 答え た 時 の 先生 の 語気 は 前 と 同じ よう に 強かっ た 。
souseki,先生 は こう いっ て また 歩き 出し た 。 私 は とうとう 先生 を やり込める 事 を 断念 し た 。 私 たち の 通る 道 は 段々 ｜ 賑  にぎ  や かに なっ た 。 今 まで ちらほら と 見え た 広い 畠  はたけ  の 斜面 や 平地  ひ らち  が 、 全く 眼 に 入  い  ら ない よう に 左右 の 家並  いえ なみ  が 揃  そろ  って き た 。 それでも 所々  ところどころ  宅地 の 隅 など に 、 豌豆  えん どう  の 蔓  つる  を 竹 に からませ たり 、 金網  かな あみ  で 鶏  にわとり  を 囲い 飼い に し たり する の が 閑静 に 眺  な が  め られ た 。 市中 から 帰る 駄馬  だ ば  が 仕切り なく 擦  す  れ 違っ て 行っ た 。 こんな もの に 始終 気 を 奪  と  られ がち な 私 は 、 さっき まで 胸 の 中 に あっ た 問題 を どこ か へ 振り 落し て しまっ た 。 先生 が 突然 そこ へ 後 戻  あと も ど  り を し た 時 、 私 は 実際 それ を 忘れ て い た 。
souseki,私  わたくし  は 墓地 の 手前 に ある 苗 畠  なえ ば たけ  の 左側 から はいっ て 、 両方 に 楓  かえ で  を 植え付け た 広い 道 を 奥 の 方 へ 進ん で 行っ た 。 すると その 端  はず  れ に 見える 茶店  ちゃ みせ  の 中 から 先生 らしい 人 が ふい と 出 て 来 た 。 私 は その 人 の 眼鏡  めがね  の 縁  ふち  が 日 に 光る まで 近く 寄っ て 行っ た 。 そうして 出し抜け に  先生  と 大きな 声 を 掛け た 。 先生 は 突然 立ち 留まっ て 私 の 顔 を 見 た 。
souseki,学校 の 授業 が 始まる に は まだ 大分  だいぶ  日数  ひか ず  が ある ので 鎌倉 に おっ て も よし 、 帰っ て も よい という 境遇 に い た 私 は 、 当分 元 の 宿 に 留  と  まる 覚悟 を し た 。 友達 は 中国 の ある 資産 家 の 息子  むすこ  で 金 に 不自由 の ない 男 で あっ た けれども 、 学校 が 学校 な の と 年 が 年 な ので 、 生活 の 程度 は 私 と そう 変り も し なかっ た 。 したがって 一 人  ひとり  ぼっ ち に なっ た 私 は 別に 恰好  かっこう  な 宿 を 探す 面倒 も もた なかっ た の で ある 。
souseki,あなた が た から 見 て 笑止千万  し ょうしせんばん  な 事 も その 時 の 私 に は 実際 大 困難 だっ た の です 。 私 は 旅先 で も 宅  うち  に い た 時 と 同じ よう に 卑怯  ひきょう  でし た 。 私 は 始終 機会 を 捕える 気 で Ｋ を 観察 し て い ながら 、 変 に 高踏 的 な 彼 の 態度 を どう する 事 も でき なかっ た の です 。 私 に いわ せる と 、 彼 の 心臓 の 周囲 は 黒い 漆  うる し  で 重  あつ  く 塗り 固め られ た の も 同然 でし た 。 私 の 注  そそ  ぎ 懸けよ う と する 血潮 は 、 一滴 も その 心臓 の 中 へ は 入ら ない で 、 悉  こと ごと  く 弾  はじ  き 返さ れ て しまう の です 。
souseki,… … 私  わたくし  は この 夏 あなた から 二 、 三 度 手紙 を 受け取り まし た 。 東京 で 相当 の 地位 を 得 たい から 宜  よろ  しく 頼む と 書い て あっ た の は 、 たしか 二 度目 に 手 に 入  い  っ た もの と 記憶 し て い ます 。 私 は それ を 読ん だ 時 ｜ 何  なん  とか し たい と 思っ た の です 。 少なくとも 返事 を 上げ なけれ ば 済ま ん と は 考え た の です 。 しかし 自白 する と 、 私 は あなた の 依頼 に対して 、 まるで 努力 を し なかっ た の です 。 ご 承知 の 通り 、 交際 区域 の 狭い と いう より も 、 世の中 に たった 一 人 で 暮し て いる といった 方 が 適切 な くらい の 私 に は 、 そういう 努力 を あえて する 余地 が 全く ない の です 。 しかし それ は 問題 で は あり ませ ん 。 実 を いう と 、 私 は この 自分 を どう すれ ば 好  い  いの か と 思い 煩  わ ずら  って い た ところ な の です 。 この まま 人間 の 中 に 取り残さ れ た ミイラ の よう に 存在 し て 行こ う か 、 それとも … … その 時分 の 私 は  それとも  という 言葉 を 心 の うち で 繰り返す たび に ぞっと し まし た 。 馳足  かけ あし  で 絶壁 の 端  はじ  まで 来 て 、 急 に 底 の 見え ない 谷 を 覗  の ぞ  き 込ん だ 人 の よう に 。 私 は 卑怯  ひきょう  でし た 。 そうして 多く の 卑怯 な 人 と 同じ 程度 において 煩悶  はんもん  し た の です 。 遺憾  いかん  ながら 、 その 時 の 私 に は 、 あなた という もの が ほとんど 存在 し て い なかっ た と いっ て も 誇張 で は あり ませ ん 。 一 歩 進め て いう と 、 あなた の 地位 、 あなた の 糊口  ここ う  の 資  し  、 そんな もの は 私 にとって まるで 無意味 な の でし た 。 どう でも 構わ なかっ た の です 。 私 は それ どころ の 騒ぎ で なかっ た の です 。 私 は 状差  じ ょうさし  へ あなた の 手紙 を 差し た なり 、 依然として 腕組 を し て 考え込ん で い まし た 。 宅  うち  に 相応 の 財産 が ある もの が 、 何 を 苦しん で 、 卒業 する か し ない のに 、 地位 地位 と いっ て 藻 掻  も が  き 廻  ま わ  る の か 。 私 は むしろ 苦 々  にが に が  し い 気分 で 、 遠く に いる あなた に こんな 一瞥  いちべつ  を 与え た だけ でし た 。 私 は 返事 を 上げ なけれ ば 済まない あなた に対して 、 言訳  いいわけ  の ため に こんな 事 を 打ち明ける の です 。 あなた を 怒らす ため に わざと 無 躾  ぶし つけ  な 言葉 を 弄  ろう  する の で は あり ませ ん 。 私 の 本意 は 後  あと  を ご覧 に なれ ば よく 解  わか  る 事 と 信じ ます 。 とにかく 私 は 何とか 挨拶  あいさつ  す べき ところ を 黙っ て い た の です から 、 私 は この 怠慢 の 罪 を あなた の 前 に 謝 し たい と 思い ます 。
souseki,あんまり 逆上  のぼせ  ちゃ いけ ませ ん  と 先生 が いっ た 。
souseki,奥さん は 最初 から 、 無人  ぶ に ん  で 淋  さむ  しい から 、 客 を 置い て 世話 を する の だ と 公言 し て い まし た 。 私 も それ を 嘘  うそ  と は 思い ませ ん でし た 。 懇意 に なっ て 色々 打ち明け 話 を 聞い た 後  あと  で も 、 そこ に 間 違  まち が  いは なかっ た よう に 思わ れ ます 。 しかし 一般 の 経済 状態 は 大して 豊  ゆ た  か だ と いう ほど で は あり ませ ん でし た 。 利害 問題 から 考え て み て 、 私 と 特殊 の 関係 を つける の は 、 先方 に 取っ て 決して 損 で は なかっ た の です 。
souseki,私 は ほとんど 父 の すべて も 知り 尽  つく  し て い た 。 もし 父 を 離れる と すれ ば 、 情合  じょうあい  の 上 に 親子 の 心残り が ある だけ で あっ た 。 先生 の 多く は まだ 私 に 解  わか  って い なかっ た 。 話す と 約束 さ れ た その 人 の 過去 も まだ 聞く 機会 を 得 ず に い た 。 要するに 先生 は 私 にとって 薄暗かっ た 。 私 は ぜひとも そこ を 通り越し て 、 明るい 所 まで 行か なけれ ば 気 が 済まなかっ た 。 先生 と 関係 の 絶える の は 私 にとって 大 い な 苦痛 で あっ た 。 私 は 母 に 日 を 見 て もらっ て 、 東京 へ 立つ 日取り を 極  き  め た 。
souseki,私 の 気分 は 国 を 立つ 時 すでに 厭世 的  えんせ い て き  に なっ て い まし た 。 他  ひと  は 頼り に なら ない もの だ という 観念 が 、 その 時 骨 の 中 まで 染  し  み 込ん で しまっ た よう に 思わ れ た の です 。 私 は 私 の 敵視 する 叔父  おじ  だの 叔母  おば  だの 、 その他  た  の 親戚  しん せき  だ の を 、 あたかも 人類 の 代表 者 の ごとく 考え出し まし た 。 汽車 へ 乗っ て さえ 隣 の もの の 様子 を 、 それとなく 注意 し 始め まし た 。 たま に 向う から 話し掛け られ でも する と 、 なお の 事 警戒 を 加え たく なり まし た 。 私 の 心 は 沈鬱  ちんうつ  でし た 。 鉛 を 呑  の  ん だ よう に 重苦しく なる 事 が 時々 あり まし た 。 それでいて 私 の 神経 は 、 今 いっ た ごとく に 鋭く 尖  と が  って しまっ た の です 。
souseki,私  わたくし  は 私 の つら まえ た 事実 の 許す 限り 、 奥さん を 慰めよ う と し た 。 奥さん も また できるだけ 私 によって 慰め られ た そう に 見え た 。 それで 二 人 は 同じ 問題 を いつ まで も 話し合っ た 。 けれども 私 は もともと 事 の 大根  おお ね  を 攫  つか  んで い なかっ た 。 奥さん の 不安 も 実は そこ に 漂  ただ よ  う 薄い 雲 に 似 た 疑惑 から 出 て 来 て い た 。 事件 の 真相 に なる と 、 奥さん 自身 に も 多く は 知れ て い なかっ た 。 知れ て いる ところ で も 悉皆  すっかり  は 私 に 話す 事 が でき なかっ た 。 したがって 慰める 私 も 、 慰め られる 奥さん も 、 共に 波 に 浮い て 、 ゆらゆら し て い た 。 ゆらゆら し ながら 、 奥さん は どこ まで も 手 を 出し て 、 覚 束  お ぼつ か  ない 私 の 判断 に 縋  す が  り 付こ う と し た 。
souseki,私 は 答え なかっ た 。
souseki,だから 人間 の 身体  から だ  ほど 不思議 な もの は ない と 思う ん だ よ 。 あれ ほど お 医者 が 手重  ておも  くい っ た もの が 、 今 まで し ゃんしゃんしているんだからね 。 お母さん も 始め の うち は 心配 し て 、 なるべく 動かさ ない よう に と 思っ て た ん だ が ね 。 それ 、 あの 気性 だろ う 。 養生 は し なさる けれども 、 強情  ご うじ ょう  で ねえ 。 自分 が 好  い  いと 思い込ん だら 、 なかなか 私  わたし  の いう 事 なんか 、 聞き そう に も なさら ない ん だ から ね
souseki,私 は 縁談 の 事 を それなり 忘れ て しまい まし た 。 私 の 周囲  ぐるり  を 取り 捲  ま  い て いる 青年 の 顔 を 見る と 、 世帯 染  しょ たいじ  み た もの は 一 人 も い ませ ん 。 みんな 自由 です 、 そうして 悉  こと ごと  く 単独 らしく 思わ れ た の です 。 こういう 気楽 な 人 の 中  うち  に も 、 裏面 に はいり 込ん だら 、 あるいは 家庭 の 事情 に 余儀なく さ れ て 、 すでに 妻 を 迎え て い た もの が あっ た かも 知れ ませ ん が 、 子供 らしい 私 は そこ に 気が付き ませ ん でし た 。 それから そういう 特別 の 境遇 に 置か れ た 人 の 方 で も 、 四辺  あたり  に 気 兼  きが ね  を し て 、 なるべく は 書生 に 縁 の 遠い そんな 内輪 の 話 は し ない よう に 慎ん で い た の でしょ う 。 後  あと  から 考える と 、 私 自身 が すでに その 組 だっ た の です が 、 私 は それ さえ 分ら ず に 、 ただ 子供 らしく 愉快 に 修学 の 道 を 歩い て 行き まし た 。
souseki,これ でも 元 は 財産 家 な ん です よ 、 君  と いい 直し た 先生 は 、 次に 私 の 顔 を 見 て 微笑 し た 。 私 は それでも 何とも 答え なかっ た 。 むしろ 不調法 で 答え られ なかっ た の で ある 。 すると 先生 が また 問題 を 他  よそ  へ 移し た 。
souseki,私 は 移っ た 日 に 、 その 室 の 床  とこ  に 活  い  けら れ た 花 と 、 その 横 に 立て 懸  か  けら れ た 琴  こと  を 見 まし た 。 どっち も 私 の 気に入り ませ ん でし た 。 私 は 詩 や 書 や 煎茶  せ ん ちゃ  を 嗜  たし  なむ 父 の 傍  そば  で 育っ た ので 、 唐  から  めい た 趣味 を 小 供  こども  の うち から もっ て い まし た 。 その ため で も あり ましょ う か 、 こういう 艶  なま  めかし い 装飾 を いつの間にか 軽蔑  けいべつ  する 癖 が 付い て い た の です 。
souseki,先生 は ようやく 得心  とく しん  し た らしい 様子 で あっ た 。 しかし 私 に は その 意味 が まるで 解  わか  ら なかっ た 。
souseki,私 は こういう 事 で よく 先生 から 失望 さ せ られ た 。 先生 は それ に 気が付い て いる よう で も あり 、 また 全く 気が付か ない よう でも あっ た 。 私 は また 軽微 な 失望 を 繰り返し ながら 、 それ が ため に 先生 から 離れ て 行く 気 に は なれ なかっ た 。 むしろ それ と は 反対 で 、 不安 に 揺  う ご  かさ れる たび に 、 もっと 前 へ 進み たく なっ た 。 もっと 前 へ 進め ば 、 私 の 予期 する ある もの が 、 いつか 眼 の 前 に 満足 に 現われ て 来る だろ う と 思っ た 。 私 は 若かっ た 。 けれども すべて の 人間 に対して 、 若い 血 が こう 素直 に 働こ う と は 思わ なかっ た 。 私 は なぜ 先生 に対して だけ こんな 心持 が 起る の か 解  わか  ら なかっ た 。 それ が 先生 の 亡くなっ た 今日  こん に ち  に なっ て 、 始めて 解っ て 来 た 。 先生 は 始め から 私 を 嫌っ て い た の で は なかっ た の で ある 。 先生 が 私 に 示し た 時 々 の 素 気  そっけ  ない 挨拶  あいさつ  や 冷淡 に 見える 動作 は 、 私 を 遠ざけよ う と する 不快 の 表現 で は なかっ た の で ある 。 傷  い た  まし い 先生 は 、 自分 に 近づこ う と する 人間 に 、 近づく ほど の 価値 の ない もの だ から 止  よ  せ という 警告 を 与え た の で ある 。 他  ひと  の 懐かしみ に 応じ ない 先生 は 、 他  ひと  を 軽蔑  けいべつ  する 前 に 、 まず 自分 を 軽蔑 し て い た もの と みえる 。
souseki,金 に 不自由 の ない 私  わたくし  は 、 騒 々  そう ぞう  しい 下宿 を 出 て 、 新しく 一 戸 を 構え て みよ う か という 気 に なっ た の です 。 しかし それ に は 世帯 道具 を 買う 面倒 も あり ます し 、 世話 を し て くれる 婆  ば あ  さん の 必要 も 起り ます し 、 その 婆さん が また 正直 で なけれ ば 困る し 、 宅  うち  を 留守 に し て も 大丈夫 な もの で なけれ ば 心配 だ し 、 と いっ た 訳 で 、 ちょく ら ちょい と 実行 する 事 は 覚 束  お ぼつ か  なく 見え た の です 。 ある 日 私 は まあ 宅  うち  だけ でも 探し て みよ う か という そぞろ心  ごころ  から 、 散歩 が てら に 本郷台  ほん ご う だい  を 西 へ 下り て 小石川  こいし か わ  の 坂 を 真直  まっすぐ  に 伝通院  でん ず うい ん  の 方 へ 上がり まし た 。 電車 の 通路 に なっ て から 、 あそこ い ら の 様子 が まるで 違っ て しまい まし た が 、 その 頃  ころ  は 左手 が 砲兵 工廠  ほう へ いこ う しょ う  の 土塀  ど べ い  で 、 右 は 原 とも 丘 と も つか ない 空地  く うち  に 草 が 一 面 に 生え て い た もの です 。 私 は その 草 の 中 に 立っ て 、 何 心  なに ごころ  なく 向う の 崖  がけ  を 眺  な が  め まし た 。 今 でも 悪い 景色 で は あり ませ ん が 、 その 頃 は また ずっと あの 西側 の 趣  おもむき  が 違っ て い まし た 。 見渡す 限り 緑 が 一 面 に 深く 茂っ て いる だけ でも 、 神経 が 休まり ます 。 私 は ふと ここいら に 適当 な 宅  うち  は ない だろ う か と 思い まし た 。 それで 直  す  ぐ 草原  く さ は ら  を 横切っ て 、 細い 通り を 北の方 へ 進ん で 行き まし た 。 いまだに 好  い  い 町 に なり 切れ ない で 、 がたぴし し て いる あの 辺  へん  の 家並  いえ なみ  は 、 その 時分 の 事 です から ずいぶん 汚 な らしい もの でし た 。 私 は 露 次  ろ じ  を 抜け たり 、 横丁  よ こ ちょう  を 曲  ま が  っ たり 、 ぐるぐる 歩き 廻  ま わ  り まし た 。 しまいに 駄菓子 屋  だが し や  の 上  かみ  さん に 、 ここいら に 小ぢんまり し た 貸家  かし や  は ない か と 尋ね て み まし た 。 上 さん は  そう です ね  と いっ て 、 少時  しばらく  首 を かしげ て い まし た が 、  かし 家  や  は ちょい と … …  と 全く 思い当ら ない 風  ふう  でし た 。 私 は 望  のぞみ  の ない もの と 諦  あき  ら め て 帰り 掛け まし た 。 すると 上 さん が また 、  素人 下宿  しろうと げ しゅく  じゃ いけ ませ ん か  と 聞く の です 。 私 は ちょっと 気 が 変り まし た 。 静か な 素人 屋  しろうと や  に 一 人 で 下宿 し て いる の は 、 かえって 家  うち  を 持つ 面倒 が なくっ て 結構 だろ う と 考え出し た の です 。 それから その 駄菓子 屋 の 店 に 腰 を 掛け て 、 上 さん に 詳しい 事 を 教え て もらい まし た 。
souseki,その 上 私 は 書き たい の です 。 義務 は 別 として 私 の 過去 を 書き たい の です 。 私 の 過去 は 私 だけ の 経験 だ から 、 私 だけ の 所有 と いっ て も 差 支  さ し つ か  え ない でしょ う 。 それ を 人 に 与え ない で 死ぬ の は 、 惜しい と も いわ れる でしょ う 。 私 に も 多少 そんな 心持 が あり ます 。 ただし 受け入れる 事 の でき ない 人 に 与える くらい なら 、 私 は むしろ 私 の 経験 を 私 の 生命  いのち  と共に 葬  ほうむ  っ た 方 が 好  い  いと 思い ます 。 実際 ここ に あなた という 一 人 の 男 が 存在 し て い ない なら ば 、 私 の 過去 は ついに 私 の 過去 で 、 間接 に も 他人 の 知識 に は なら ない で 済ん だ でしょ う 。 私 は 何 千 万 と いる 日本人 の うち で 、 ただ あなた だけ に 、 私 の 過去 を 物語り たい の です 。 あなた は 真面目  まじめ  だ から 。 あなた は 真面目 に 人生 そのもの から 生き た 教訓 を 得 たい と いっ た から 。
souseki,私  わたくし  は 奥さん の 理解 力 に 感心 し た 。 奥さん の 態度 が 旧式 の 日本 の 女らしく ない ところ も 私 の 注意 に 一種 の 刺戟  しげき  を 与え た 。 それで 奥さん は その 頃  ころ  流行  はや  り 始め た いわゆる 新しい 言葉 など は ほとんど 使わ なかっ た 。
souseki,あなた は 私 の 思想 とか 意見 とかいう もの と 、 私 の 過去 と を 、 ごちゃごちゃ に 考え て いる ん じゃ あり ませ ん か 。 私 は 貧弱 な 思想家 です けれども 、 自分 の 頭 で 纏  まと  め 上げ た 考え を むやみ に 人 に 隠し やし ませ ん 。 隠す 必要 が ない ん だ から 。 けれども 私 の 過去 を 悉  こと ごと  く あなた の 前 に 物語ら なく て は なら ない と なる と 、 それ は また 別 問題 に なり ます
souseki,そう です
souseki,奥さん 、 私 は 真面目  まじめ  です よ 。 だから 逃げ ちゃ いけ ませ ん 。 正直 に 答え なくっ ちゃ
souseki,Ｋ は しばらく し て 、 私 の 名 を 呼ん で 私 の 方 を 見 まし た 。 今度 は 私 の 方 で 自然 と 足 を 留め まし た 。 すると Ｋ も 留まり まし た 。 私 は その 時 やっと Ｋ の 眼 を 真向  ま むき  に 見る 事 が でき た の です 。 Ｋ は 私 より 背  せい  の 高い 男 でし た から 、 私 は 勢い 彼 の 顔 を 見上げる よう に し なけれ ば なり ませ ん 。 私 は そうした 態度 で 、 狼  お おかみ  の ごとき 心 を 罪 の ない 羊 に 向け た の です 。
